Table 1
id;ident;type;name;latitude_deg;longitude_deg;elevation_ft;continent;iso_country;iso_region;municipality;scheduled_service;icao_code;iata_code;gps_code;local_code;home_link;wikipedia_link;keywords
29277;ENRA;medium_airport;Mo i Rana Airport, Røssvoll;66.363899230957;14.301400184631;229;EU;NO;NO-18;Mo i Rana;yes;ENRA;MQN;ENRA;;https://avinor.no/en/airport/mo-i-rana-airport/;https://en.wikipedia.org/wiki/Mo_i_Rana_Airport%2C_R%C3%B8ssvoll;
30346;ENRG;small_airport;Rognan Airfield;67.098297;15.4111;20;EU;NO;NO-18;Saltdal;no;;;ENRG;;;https://en.wikipedia.org/wiki/Rognan_Airfield;
319143;ENRH;heliport;Oslo Heliport, Rikshospitalet;59.948467;10.716144;;EU;NO;NO-03;Oslo;no;;;ENRH;;;;
29880;ENRI;small_airport;Ringebu Airfield Frya;61.545440673;10.061588287;571;EU;NO;NO-34;Frya;no;;;ENRI;;;;
30317;ENRK;small_airport;Rakkestad Astorp Airfield;59.397499;11.3469;400;EU;NO;NO-31;Rakkestad;no;;;ENRK;;http://enrk.net/;https://en.wikipedia.org/wiki/Rakkestad_Airport,_%C3%85storp;
29278;ENRM;medium_airport;Rørvik Airport, Ryum;64.838302612305;11.14610004425;14;EU;NO;NO-50;Rørvik;yes;ENRM;RVK;ENRM;;https://avinor.no/en/airport/rorvik-airport/;https://en.wikipedia.org/wiki/R%C3%B8rvik_Airport%2C_Ryum;
2591;ENRO;medium_airport;Røros Airport;62.578399658203;11.342300415039;2054;EU;NO;NO-50;Røros;yes;ENRO;RRS;ENRO;;https://avinor.no/en/airport/roros-airport/;https://en.wikipedia.org/wiki/R%C3%B8ros_Airport;Roros
29279;ENRS;small_airport;Røst Airport;67.526482;12.101575;7;EU;NO;NO-18;Røst;yes;ENRS;RET;ENRS;;https://avinor.no/en/airport/rost-airport/;https://en.wikipedia.org/wiki/R%C3%B8st_Airport;Rost Airport
319152;ENRT;heliport;Trondheim Heliport, Rosten;63.368133;10.374015;;EU;NO;NO-50;Trondheim;no;;;ENRT;;;https://en.wikipedia.org/wiki/Trondheim_Heliport,_Rosten;
30330;ENRV;small_airport;Reinsvoll Airfield;60.672199;10.5675;1381;EU;NO;NO-34;Reinsvoll;no;;;ENRV;;;https://no.wikipedia.org/wiki/Reinsvoll_flyplass;
