timestamp,mmsi,name,latitude,longitude,speed,course,vessel_type,country
2025-09-19T13:57:15.622838,538005351,CLEAN PLANET,70.687992,32.57264,14.9,169.5,84,
2025-09-19T13:57:15.622852,231605000,KONGSBORG,70.635313,23.665367,0.0,244.5,90,
2025-09-19T13:57:15.622856,231605001,KONGSBORG MOB,70.652245,23.578608,0.2,242.4,97,
2025-09-19T13:57:15.622887,109030585,TRIO BOUY 5,70.91911,29.746958,2.2,53.5,0,
2025-09-19T13:57:15.622891,109030586,TOMBA BUOY 2,70.93378,29.749393,2.2,236.6,0,
2025-09-19T13:57:15.622895,109030588,TOMBA BUOY 3,70.931472,29.770508,2.2,75.2,0,
2025-09-19T13:57:15.622899,109030589,TRIO BOUY 6,70.915157,29.756313,1.4,153.8,0,
2025-09-19T13:57:15.622912,109030760,JENS BOY 3,69.39739,18.439213,0.0,343.0,0,
2025-09-19T13:57:15.622916,249257000,PENGLAI,65.050588,7.672583,11.6,232.6,70,
2025-09-19T13:57:15.622924,277544000,TAURUS,81.44666666666667,31.65666666666667,3.0,216.0,30,
2025-09-19T13:57:15.622951,246920000,HEBO-LIFT 10,69.556947,19.147007,0.0,158.1,99,
2025-09-19T13:57:15.622991,273397450,ESTER,70.678457,19.035248,7.5,24.7,30,
2025-09-19T13:57:15.623047,304099000,CELINA,71.611493,24.783545,10.7,73.0,79,
2025-09-19T13:57:15.623091,231837000,HAV SKANDIC,69.480377,18.177718,9.9,239.6,90,
2025-09-19T13:57:15.623105,244057240,ZEEWOLF,69.549887,19.070168,5.4,69.9,99,
2025-09-19T13:57:15.623109,308928000,SCARABEO 8,65.823178,7.715587,0.2,265.0,90,
2025-09-19T13:57:15.623142,310588000,FLOATEL SUPERIOR,65.10833333333333,6.79,0.0,174.0,90,
2025-09-19T13:57:15.623157,231763000,QUEST,69.635517,18.935823,0.0,221.3,60,
2025-09-19T13:57:15.623172,412420561,HANYI36,78.55666666666666,32.10666666666667,36.0,46.0,30,
2025-09-19T13:57:15.623197,273250820,KORD BARENTS,75.46499999999999,20.866666666666667,6.0,125.0,80,
2025-09-19T13:57:15.623208,412421098,DONGYU1527,76.98,-1.24,17.0,437.0,30,
2025-09-19T13:57:15.623212,412421136,XIN SHI JI 66,70.90333333333334,-0.9733333333333332,32.0,370.0,30,
2025-09-19T13:57:15.623237,273326830,KHOLMOGORY,75.735,13.986666666666668,3.0,170.0,30,
2025-09-19T13:57:15.623245,667001255,CENTURION,67.363583,8.212833,12.2,217.0,80,
2025-09-19T13:57:15.623252,273251530,ANTARKTIKA,71.674333,26.915833,5.9,285.0,80,
2025-09-19T13:57:15.623273,219017214,ESVAGT AURORA,71.348827,22.399623,0.6,343.8,99,
2025-09-19T13:57:15.623286,265030590,KINFISH TENDER 2,81.82594,15.885555,0.5,175.0,90,
2025-09-19T13:57:15.623315,265182000,ODEN,78.234418,15.623208,0.1,166.7,90,
2025-09-19T13:57:15.623336,247229700,AIDABELLA,68.699732,15.420333,0.0,261.4,60,
2025-09-19T13:57:15.623383,123222339,RONJA BOUY 5,70.934595,25.6341,0.6,0.0,0,
2025-09-19T13:57:15.623395,273254860,KAPITAN TARAN,72.03166666666667,30.85,11.0,328.0,30,
2025-09-19T13:57:15.623399,273254880,MECHANIC STEPANOV,70.313932,17.779803,11.3,56.8,30,
2025-09-19T13:57:15.623426,352005711,GRAND EXPLORER,68.11689,15.137368,8.0,58.1,70,
2025-09-19T13:57:15.623445,250400644,250400644,69.405065,18.421165,0.1,158.6,0,
2025-09-19T13:57:15.623483,941500449,UNNUR BUOY 21,71.301565,30.351463,2.2,198.3,0,
2025-09-19T13:57:15.623487,941500450,UNNUR BUOY 14,71.415115,30.547695,1.2,165.2,0,
2025-09-19T13:57:15.623497,941500554,MAIKENJENTA BU 41,69.985688,30.265527,1.3,50.7,0,
2025-09-19T13:57:15.623506,941500651,TK9 BUOY 2 66,70.597987,20.338023,1.5,330.1,0,
2025-09-19T13:57:15.623510,941500672,HUSTIND 691 BU 55,67.865908,13.11041,1.1,226.1,0,
2025-09-19T13:57:15.623516,941500789,HUSTIND 691 BU 18,67.85593,13.089708,0.7,205.0,0,
2025-09-19T13:57:15.623520,941500801,MARIE K BUOY 97,68.577517,16.525722,0.2,15.9,0,
2025-09-19T13:57:15.623527,941500813,ANTON EMILIAN 31,70.780553,26.151333,1.6,321.3,0,
2025-09-19T13:57:15.623531,941500819,ANTON EMILIAN 18,70.795722,26.005812,1.2,62.1,0,
2025-09-19T13:57:15.623537,941500894,BROR 4 BUOY 66,70.074208,29.741903,0.2,121.2,0,
2025-09-19T13:57:15.623543,941500985,TRYGVE B BOUY 94 S,74.975603,33.17106,2.7,26.3,0,
2025-09-19T13:57:15.623547,941500989,HANS BUOY 26,71.083093,27.265945,2.4,196.8,0,
2025-09-19T13:57:15.623554,941501039,NEPTUN BUOY 2 95,70.837538,29.632837,2.9,90.0,0,
2025-09-19T13:57:15.623558,941501040,NEPTUN BUOY 1 91,70.830617,29.68423,1.6,225.0,0,
2025-09-19T13:57:15.623564,941501099,SAGA BJOERG BU 48,71.038628,28.597417,4.5,192.9,0,
2025-09-19T13:57:15.623570,941501107,GK BUOY 53,71.036393,28.592878,1.8,122.5,0,
2025-09-19T13:57:15.623576,413559690,RUN HAI XIANG YANG,81.74,12.453333333333337,35.0,108.0,70,
2025-09-19T13:57:15.623586,109120353,RB 4 BOUY 72,69.825408,17.910567,2.1,25.9,0,
2025-09-19T13:57:15.623592,109120354,RB 3 BOUY 68,69.84401,17.886658,1.3,111.8,0,
2025-09-19T13:57:15.623596,109120360,RB 2 BOUY 77,69.854508,17.8779,3.2,117.1,0,
2025-09-19T13:57:15.623600,109120410,NORSOL 1 14,68.984988,16.049983,0.7,185.0,0,
2025-09-19T13:57:15.623604,109120421,NORSOL 3 23,68.950917,16.008292,0.6,247.9,0,
2025-09-19T13:57:15.623608,109120446,SENJATIND 1 52,69.532428,18.083582,0.6,352.0,0,
2025-09-19T13:57:15.623613,109120461,SENJALAND BUOY 47,69.543965,17.670275,0.0,174.3,0,
2025-09-19T13:57:15.623617,109120462,KARL MARTIN BO 89,69.173653,17.942082,1.2,183.9,0,
2025-09-19T13:57:15.623621,109120463,KARL MARTIN BO 81,69.175205,17.959985,6.5,80.6,0,
2025-09-19T13:57:15.623658,235015732,CSB 44,69.678365,19.001343,2.2,50.4,35,
2025-09-19T13:57:15.623689,218799000,MARK,72.52683,9.885672,10.7,232.8,30,
2025-09-19T13:57:15.623768,249803000,STOC NIKE,70.681567,23.588042,0.0,261.2,89,
2025-09-19T13:57:15.623785,352842000,SJOVEIEN,78.124242,14.966642,8.8,126.1,79,
2025-09-19T13:57:15.623831,109050519,MUSVERINGEN 16,70.695383,30.383052,1.3,180.0,0,
2025-09-19T13:57:15.623854,248221000,KEY SOUTH,67.033547,12.978018,12.2,55.1,82,
2025-09-19T13:57:15.623870,109050891,SOLRUN B 3 69,70.633385,29.721808,0.2,157.8,0,
2025-09-19T13:57:15.623876,109050900,SENJALIV 1 43,69.528485,18.106482,1.5,100.7,0,
2025-09-19T13:57:15.623883,109050923,SARA KARIN 80,74.668047,18.780507,8.2,8.2,0,
2025-09-19T13:57:15.623886,109050937,HAAVARD A 63,67.646143,15.135388,0.0,154.4,0,
2025-09-19T13:57:15.623908,219029885,ESVAGT DC 11,72.505327,20.221582,4.0,53.7,40,
2025-09-19T13:57:15.623913,255915684,NCL VESTLAND,68.443242,13.864553,16.2,60.8,70,
2025-09-19T13:57:15.623921,231099000,HAV NES,65.162423,11.841543,10.1,195.9,70,
2025-09-19T13:57:15.623962,370572000,CAPE AMANDA,65.081215,7.4379,9.3,45.1,70,
2025-09-19T13:57:15.624020,982470189,AIDABELLA TB 13,68.111883,13.594457,0.1,345.5,60,
2025-09-19T13:57:15.624024,982470191,AIDABELLA TB15,68.12112,13.577943,8.2,126.9,60,
2025-09-19T13:57:15.624028,982470192,AIDABELLA TB 16,68.113123,13.594153,0.0,277.5,60,
2025-09-19T13:57:15.624032,982470194,AIDABELLA TB 18,68.111603,13.596818,3.0,241.0,60,
2025-09-19T13:57:15.624076,370424000,NACC ANTIGUA,66.507552,9.818462,11.2,59.8,70,
2025-09-19T13:57:15.624143,636018554,ELARA,71.349965,29.67337,10.4,302.4,70,
2025-09-19T13:57:15.624198,244533000,WATERLAND,69.67976,18.998417,0.0,346.2,52,
2025-09-19T13:57:15.624260,109060230,KRISTINE E,71.174952,26.48786,2.0,0.0,0,
2025-09-19T13:57:15.624264,109060233,KRISTINE E,71.171607,26.4651,1.1,90.0,0,
2025-09-19T13:57:15.624269,109060322,MAYA BUOY 3,71.05247,26.056697,2.2,175.2,0,
2025-09-19T13:57:15.624272,109060326,AH SENIOR,70.81341,29.726408,4.1,56.8,0,
2025-09-19T13:57:15.624278,109060479,VAROY BUOY 3,68.452575,13.239902,0.8,268.4,0,
2025-09-19T13:57:15.624290,109060645,MAYA BUOY 2,71.064387,26.19271,2.0,118.8,0,
2025-09-19T13:57:15.624298,309481000,ARCTIC DISCOVERER,70.677428,23.4055,0.2,323.6,80,
2025-09-19T13:57:15.624302,109060873,ABRASON BOUY 2,70.438413,31.175187,1.0,47.5,0,
2025-09-19T13:57:15.624305,109060877,ABRASON BOUY 1,70.466322,31.10952,1.8,7.0,0,
2025-09-19T13:57:15.624309,941215684,HAAVARD A,67.622627,15.243805,0.9,164.2,0,
2025-09-19T13:57:15.624326,219794000,NADIR,78.227883,15.615517,0.1,5.2,31,
2025-09-19T13:57:15.624338,219417000,GEORG STAGE,66.353563,12.839482,6.8,135.1,36,
2025-09-19T13:57:15.624359,636023140,ST.SOFIA,71.364035,29.590872,10.6,307.9,70,
2025-09-19T13:57:15.624428,629009658,MAKALU,73.662445,34.801058,10.7,64.2,80,
2025-09-19T13:57:15.624448,941219502,EMMA BUOY 5,70.72089,23.807963,0.0,0.0,0,
2025-09-19T13:57:15.624510,372698000,FUGRO DISCOVERY,67.295282,14.389053,0.0,40.5,90,
2025-09-19T13:57:15.624536,276826000,AGOT,68.698333,15.420838,0.0,0.0,70,
2025-09-19T13:57:15.624540,702106000,MARCUS,69.90333333333334,21.876666666666665,0.0,128.0,99,
2025-09-19T13:57:15.624612,111257003,NOR-004,70.0593,24.976085,0.0,348.3,99,
2025-09-19T13:57:15.624616,111257010,NOR-011,67.271235,14.357075,6.0,329.4,99,
2025-09-19T13:57:15.624620,111257011,NOR-012,67.271697,14.357802,0.0,219.4,99,
2025-09-19T13:57:15.624637,111257506,LN-OXH,69.686008,18.914372,0.0,240.8,99,
2025-09-19T13:57:15.624641,111257511,SAR AC  RESCUE 7,69.683483,18.91251,0.0,195.6,99,
2025-09-19T13:57:15.624645,111257512,SAR AC RESCUE 7,69.683183,18.91261,0.0,,99,
2025-09-19T13:57:15.624690,265289000,VIRGO,82.70626,23.076907,1.0,0.1,70,
2025-09-19T13:57:15.624694,273435580,KAPITAN SULIMOV,71.246773,17.42693,9.2,291.3,30,
2025-09-19T13:57:15.624715,311000634,YAKOV GAKKEL,70.168783,16.298485,19.5,48.2,89,
2025-09-19T13:57:15.624755,273436830,LLV AZURIT,70.62544,29.701108,0.0,22.8,30,
2025-09-19T13:57:15.624762,311001583,AURORA SPIRIT,65.516265,6.989788,7.5,29.0,80,
2025-09-19T13:57:15.624766,311001591,RAINBOW SPIRIT,72.302238,20.121235,2.1,190.6,80,
2025-09-19T13:58:27.190666,265064540,KINFISH TENDER 3,81.836007,15.898378,3.3,13.5,90,
2025-09-19T13:58:27.190738,235572000,ANVIL POINT,66.658232,8.030107,16.5,202.9,70,
2025-09-19T13:58:27.190766,630001042,NOR STAR,68.575077,14.947765,0.0,205.5,80,
2025-09-19T13:58:27.190786,319301000,KEY WIND,67.002848,10.64467,12.2,199.2,89,
2025-09-19T13:58:27.190861,277589000,VILKAS,68.234027,14.536107,0.1,216.7,30,
2025-09-19T13:58:27.190896,586706041,LEINEBRIS 34,75.375993,19.74737,3.4,243.6,0,
2025-09-19T13:58:27.190904,586706108,586706108,68.216867,14.94592,0.3,214.5,0,
2025-09-19T13:58:27.190909,586706109,AH BOY3,68.19243,14.827548,6.0,258.6,0,
2025-09-19T13:58:27.190914,586706114,AH BOY1,68.230162,14.647283,0.4,302.3,0,
