timestamp,mmsi,name,latitude,longitude,speed,course,vessel_type
2025-09-19T12:42:20.724372,585900264,NORSOL 3 61,69.003017,16.139307,0.9,310.3,0
2025-09-19T12:42:20.724374,585900266,NORSOL 5 20,69.082728,16.144902,1.2,147.5,0
2025-09-19T12:42:20.724375,585900267,NORSOL 4 57,68.972488,16.09908,0.6,68.7,0
2025-09-19T12:42:20.724377,585900273,BUOY SL 1 84,69.531175,17.980698,0.5,76.4,0
2025-09-19T12:42:20.724378,585900274,BUOY SL 2 70,69.53542,18.084185,0.6,246.2,0
2025-09-19T12:42:20.724442,538003746,KANARIS,68.430623,17.402627,0.0,236.9,70
2025-09-19T12:42:20.724479,273845800,VASILIY GOLOVNIN,74.923937,15.760295,5.4,184.9,30
2025-09-19T12:42:20.724482,538005351,CLEAN PLANET,70.687992,32.57264,14.9,169.5,84
2025-09-19T12:42:20.724515,109030585,TRIO BOUY 5,70.91994,29.74767,2.2,200.0,0
2025-09-19T12:42:20.724516,109030586,TOMBA BUOY 2,70.93431,29.749682,2.0,131.6,0
2025-09-19T12:42:20.724518,109030588,TOMBA BUOY 3,70.931958,29.771202,1.2,229.4,0
2025-09-19T12:42:20.724520,109030589,TRIO BOUY 6,70.915613,29.756878,2.5,81.3,0
2025-09-19T12:42:20.724529,109030760,JENS BOY 3,69.39707,18.439187,0.1,126.2,0
2025-09-19T12:42:20.724530,249257000,PENGLAI,65.275,8.373333333333333,12.0,234.0,70
2025-09-19T12:42:20.724536,277544000,TAURUS,81.453215,32.04139,2.6,274.6,30
2025-09-19T12:42:20.724559,246920000,HEBO-LIFT 10,69.557127,19.146822,0.0,268.5,99
2025-09-19T12:42:20.724593,273397450,ESTER,70.61899,18.999697,4.0,327.8,30
2025-09-19T12:42:20.724633,304099000,CELINA,71.566182,24.09515,10.9,73.6,79
2025-09-19T12:42:20.724669,231837000,HAV SKANDIC,69.555847,18.726412,10.2,261.1,90
2025-09-19T12:42:20.724680,244057240,ZEEWOLF,69.549887,19.070168,5.4,69.9,99
2025-09-19T12:42:20.724682,308928000,SCARABEO 8,65.823178,7.715597,0.1,144.0,90
2025-09-19T12:42:20.724707,310588000,FLOATEL SUPERIOR,65.10833333333333,6.79,0.0,282.0,90
2025-09-19T12:42:20.724718,231763000,QUEST,69.6355,18.935818,0.0,221.3,60
2025-09-19T12:42:20.724728,412420561,HANYI36,78.55666666666666,32.10666666666667,36.0,46.0,30
2025-09-19T12:42:20.724732,412420597,DONGYU1519,73.74499999999999,-1.9666666666666666,54.0,44.0,99
2025-09-19T12:42:20.724754,273250820,KORD BARENTS,75.558173,20.309168,6.1,123.1,80
2025-09-19T12:42:20.724760,412421098,DONGYU1527,76.98,-1.24,17.0,437.0,30
2025-09-19T12:42:20.724762,412421136,XIN SHI JI 66,70.90333333333334,-0.9733333333333333,32.0,370.0,30
2025-09-19T12:42:20.724787,667001255,CENTURION,67.546817,8.59195,12.0,219.0,80
2025-09-19T12:42:20.724790,273251530,ANTARKTIKA,71.643,27.329,6.4,286.0,80
2025-09-19T12:42:20.724806,219017214,ESVAGT AURORA,71.34689,22.400248,0.2,19.1,99
2025-09-19T12:42:20.724815,265030590,KINFISH TENDER 2,81.82594,15.885555,0.5,175.0,90
2025-09-19T12:42:20.724834,265182000,ODEN,78.2344,15.623168,0.0,326.8,90
2025-09-19T12:42:20.724850,247229700,AIDABELLA,68.69973,15.420337,0.0,261.3,60
